ID,RA,DEC,Z,Radius_Mpc,Density_Fraction,Effective_Radius_deg,Catalog_Source
14689,,,,60.694,,1.9422080000000002,SDSS_DR12
9026,,,,47.602,,1.523264,SDSS_DR12
21843,,,,49.7,,1.5904,SDSS_DR12
16192,,,,56.286,,1.801152,SDSS_DR12
16268,,,,50.295,,1.60944,SDSS_DR12
19273,,,,40.999,,1.311968,SDSS_DR12
19904,,,,66.447,,2.126304,SDSS_DR12
1395,,,,25.41,,0.8131200000000001,SDSS_DR12
6764,,,,50.707,,1.622624,SDSS_DR12
18632,,,,53.686,,1.717952,SDSS_DR12
1270,,,,41.462,,1.3267840000000002,SDSS_DR12
890,,,,53.178,,1.7016959999999999,SDSS_DR12
21120,,,,71.451,,2.286432,SDSS_DR12
18411,,,,50.815,,1.62608,SDSS_DR12
6678,,,,24.866,,0.795712,SDSS_DR12
15010,,,,37.777,,1.2088640000000002,SDSS_DR12
8101,,,,50.498,,1.615936,SDSS_DR12
19989,,,,51.355,,1.64336,SDSS_DR12
9847,,,,46.131,,1.476192,SDSS_DR12
5990,,,,54.595,,1.74704,SDSS_DR12
19957,,,,44.299,,1.417568,SDSS_DR12
19613,,,,61.489,,1.9676479999999998,SDSS_DR12
17328,,,,22.323,,0.7143360000000001,SDSS_DR12
12747,,,,55.399,,1.7727680000000001,SDSS_DR12
12360,,,,39.265,,1.25648,SDSS_DR12
10833,,,,25.076,,0.802432,SDSS_DR12
19839,,,,61.201,,1.958432,SDSS_DR12
13929,,,,34.505,,1.10416,SDSS_DR12
13931,,,,55.933,,1.7898560000000001,SDSS_DR12
12135,,,,22.129,,0.7081280000000001,SDSS_DR12
11861,,,,43.079,,1.378528,SDSS_DR12
4282,,,,53.662,,1.717184,SDSS_DR12
21985,,,,43.573,,1.394336,SDSS_DR12
11128,,,,41.839,,1.338848,SDSS_DR12
14984,,,,63.479,,2.031328,SDSS_DR12
14345,,,,75.612,,2.419584,SDSS_DR12
15232,,,,38.616,,1.235712,SDSS_DR12
3606,,,,58.982,,1.887424,SDSS_DR12
16553,,,,72.599,,2.3231680000000003,SDSS_DR12
17861,,,,43.431,,1.389792,SDSS_DR12
4661,,,,37.244,,1.191808,SDSS_DR12
898,,,,47.296,,1.513472,SDSS_DR12
19781,,,,26.866,,0.859712,SDSS_DR12
15595,,,,61.674,,1.973568,SDSS_DR12
734,,,,16.123,,0.5159360000000001,SDSS_DR12
8772,,,,53.279,,1.7049280000000002,SDSS_DR12
14854,,,,60.035,,1.92112,SDSS_DR12
14307,,,,51.255,,1.64016,SDSS_DR12
17894,,,,65.635,,2.1003200000000004,SDSS_DR12
17822,,,,52.504,,1.680128,SDSS_DR12
15251,,,,80.408,,2.5730560000000002,SDSS_DR12
22048,,,,48.601,,1.555232,SDSS_DR12
9931,,,,48.322,,1.5463040000000001,SDSS_DR12
3491,,,,37.032,,1.1850239999999999,SDSS_DR12
906,,,,25.06,,0.80192,SDSS_DR12
353,,,,62.37,,1.99584,SDSS_DR12
19789,,,,52.098,,1.667136,SDSS_DR12
13055,,,,77.758,,2.488256,SDSS_DR12
773,,,,30.914,,0.989248,SDSS_DR12
21833,,,,77.245,,2.4718400000000003,SDSS_DR12
139,,,,59.004,,1.888128,SDSS_DR12
4653,,,,53.474,,1.711168,SDSS_DR12
13608,,,,56.558,,1.8098560000000001,SDSS_DR12
14443,,,,47.25,,1.512,SDSS_DR12
9816,,,,57.073,,1.826336,SDSS_DR12
4241,,,,65.442,,2.094144,SDSS_DR12
18590,,,,42.889,,1.3724480000000001,SDSS_DR12
19825,,,,65.89,,2.10848,SDSS_DR12
21396,,,,74.281,,2.3769920000000004,SDSS_DR12
4335,,,,62.025,,1.9848,SDSS_DR12
20968,,,,56.628,,1.8120960000000002,SDSS_DR12
7658,,,,57.894,,1.852608,SDSS_DR12
15070,,,,34.963,,1.118816,SDSS_DR12
21562,,,,55.993,,1.791776,SDSS_DR12
16153,,,,74.853,,2.395296,SDSS_DR12
4156,,,,33.097,,1.059104,SDSS_DR12
18618,,,,82.918,,2.653376,SDSS_DR12
16507,,,,41.209,,1.318688,SDSS_DR12
2607,,,,48.4,,1.5488,SDSS_DR12
15616,,,,51.914,,1.661248,SDSS_DR12
12543,,,,52.739,,1.687648,SDSS_DR12
16497,,,,48.677,,1.557664,SDSS_DR12
12263,,,,62.799,,2.0095680000000002,SDSS_DR12
7610,,,,67.201,,2.150432,SDSS_DR12
13615,,,,46.581,,1.4905920000000001,SDSS_DR12
21161,,,,28.183,,0.901856,SDSS_DR12
17190,,,,48.43,,1.54976,SDSS_DR12
4681,,,,55.604,,1.779328,SDSS_DR12
3697,,,,68.586,,2.194752,SDSS_DR12
4362,,,,36.175,,1.1576,SDSS_DR12
3521,,,,48.418,,1.549376,SDSS_DR12
6772,,,,52.919,,1.693408,SDSS_DR12
